"dgp","L","m","kappa","seed","available","cond","delivered","avail_top","avail_rest","frontier","interior","width","groups"
"affine",50,15,0.666666666666667,50074,0.98,1,0.98,0.8,1,1,1,0.0672714585648501,1
"affine",50,15,0.666666666666667,50075,0.98,0.979591836734694,0.96,0.8,1,1,0.971428571428571,0.0697484935128455,1
"affine",50,15,0.666666666666667,50076,0.96,0.958333333333333,0.92,0.6,1,1,0.9375,0.059845040311185,1
"affine",50,15,0.666666666666667,50077,0.96,1,0.96,0.6,1,1,1,0.0888966069521658,1
"affine",50,15,0.666666666666667,50078,0.98,0.959183673469388,0.94,0.8,1,1,0.933333333333333,0.0617178371972769,1
"affine",50,15,0.666666666666667,50079,0.96,1,0.96,0.6,1,1,1,0.0668913410145244,1
"affine",50,15,0.666666666666667,50080,0.96,0.979166666666667,0.94,0.6,1,1,0.973684210526316,0.108643834566162,1
"affine",50,15,0.666666666666667,50081,0.98,1,0.98,0.8,1,1,1,0.0728917488663635,1
"affine",50,15,0.666666666666667,50082,0.96,1,0.96,0.6,1,1,1,0.0574456910713494,1
"affine",50,15,0.666666666666667,50083,0.98,0.979591836734694,0.96,0.8,1,1,0.967741935483871,0.0401939436346679,1
"affine",50,15,0.666666666666667,50084,0.98,0.938775510204082,0.92,0.8,1,1,0.923076923076923,0.0707973561087087,1
"affine",50,15,0.666666666666667,50085,0.96,1,0.96,0.6,1,1,1,0.068471983836105,1
"affine",50,15,0.666666666666667,50086,0.98,0.979591836734694,0.96,0.8,1,1,0.972222222222222,0.0591493101325398,0.5
"affine",50,15,0.666666666666667,50087,0.98,1,0.98,0.8,1,1,1,0.076410404022173,1
"affine",50,15,0.666666666666667,50088,0.96,1,0.96,0.6,1,1,1,0.0879277859764206,1
"affine",50,15,0.666666666666667,50089,0.96,1,0.96,0.6,1,1,1,0.0858452155969863,1
"affine",50,15,0.666666666666667,50090,0.96,1,0.96,0.6,1,1,1,0.0780351081122357,1
"affine",50,15,0.666666666666667,50091,0.98,1,0.98,0.8,1,1,1,0.0438994749206383,1
"affine",50,15,0.666666666666667,50092,0.98,1,0.98,0.8,1,1,1,0.0457365461229599,1
